FDS Data,,,,True Labels,,,Participant Accuracy Compared to True Label,,,,,,,,,,,,,,,,,,,
P0,Q0,A0,,A1,,Participant,P0,P1,P2,P3,P4,P5,,,1,expert raw agreement:,Question,Tweet1,Tweet2,Tweet3,Tweet4,Tweet5,Tweet6,,,
P0,Q1,A0,,A0,,Accuracy,0.823529412,0.911764706,0.77124183,0.807189542,0.885620915,0.937908497,,,1,,1,1,1,1,0,1,1,0.833333333,,0.624183007
P0,Q2,A0,,A0,,,0,0,1,1,0,1,,,0,,2,1,1,1,1,1,1,1,,
P0,Q3,A0,,A1,,,1,1,1,1,1,1,,,1,,3,0,1,0,0,1,0,0.333333333,,
P0,Q4,A0,,A0,,,1,1,1,1,1,1,,,1,,4,1,1,1,0,1,1,0.833333333,,
P0,Q5,A0,,A0,,,0,1,0,0,1,1,,,1,,5,1,1,1,1,1,1,1,,
P0,Q6,A0,,A0,,,1,1,1,1,1,1,,,1,,6,1,1,1,1,1,1,1,,
P0,Q7,A0,,A0,,,1,1,1,1,1,1,,,1,,7,1,1,1,1,1,0,0.833333333,,
P0,Q8,A0,,A0,,,1,1,1,1,1,1,,,1,,8,1,1,0,1,1,1,0.833333333,,
P0,Q9,A0,,A0,,,1,1,0,1,1,0,,,1,,9,1,1,0,1,1,1,0.833333333,,
P0,Q10,A0,,A0,,,1,1,0,1,1,0,,,1,,10,1,1,1,1,1,1,1,,
P0,Q11,A0,,A1,,,1,1,1,1,1,1,,,1,,11,1,1,0,1,1,1,0.833333333,,
P0,Q12,A0,,A0,,,1,1,1,1,1,1,,,1,,12,1,1,0,1,1,1,0.833333333,,
P0,Q13,A0,,A0,,,0,0,0,0,1,1,,,1,,13,1,1,1,0,0,1,0.666666667,,
P0,Q14,A0,,A0,,,1,1,1,1,1,1,,,1,,14,1,1,1,1,1,1,1,,
P0,Q15,A0,,A0,,,1,1,1,1,1,1,,,1,,15,1,1,1,1,1,1,1,,
P0,Q16,A0,,A0,,,1,1,1,1,1,1,,,1,,16,1,1,1,1,1,1,1,,
P0,Q17,A0,,A0,,,1,1,1,1,1,1,,,1,,17,1,1,0,1,1,1,0.833333333,,
P0,Q18,A0,,A0,,,1,1,1,1,1,1,,,0,,18,1,1,0,1,1,1,0.833333333,,
P0,Q19,A1,,A1,,,1,1,0,1,1,0,,,0,,19,0,0,1,0,0,0,0.166666667,,
P0,Q20,A0,,A0,,,1,1,1,1,1,1,,,1,,20,0,0,0,1,0,1,0.333333333,,
P0,Q21,A2,,A1,,,1,1,1,1,1,1,,,0,,21,1,1,0,0,0,1,0.5,,
P0,Q22,A1,,A1,,,1,1,1,1,1,1,,,1,,22,0,0,0,0,0,0,0,,
P0,Q23,A2,,A1,,,0,0,0,0,0,1,,,0,,23,1,0,1,1,1,1,0.833333333,,
P0,Q24,A1,,A1,,,1,1,1,1,1,1,,,0,,24,0,0,0,0,0,0,0,,
P0,Q25,A0,,A0,,,0,1,0,0,1,1,,,1,,25,0,0,0,0,0,1,0.166666667,,
P0,Q26,A0,,A0,,,1,1,1,1,1,1,,,0,,26,1,1,1,1,1,1,1,,
P0,Q27,A1,,A1,,,1,1,1,1,1,1,,,0,,27,0,1,0,0,1,0,0.333333333,,
P0,Q28,A0,,A0,,,1,1,1,1,1,1,,,1,,28,0,1,1,1,1,0,0.666666667,,
P0,Q29,A0,,A0,,,1,1,1,1,1,1,,,1,,29,1,1,1,1,1,1,1,,
P0,Q30,A0,,A0,,,1,1,1,1,1,1,,,1,,30,1,0,0,0,1,1,0.5,,
P0,Q31,A0,,A0,,,1,1,0,1,1,0,,,0,,31,1,0,1,0,1,1,0.666666667,,
P0,Q32,A1,,A1,,,1,1,1,1,1,1,,,0,,32,0,0,0,0,0,0,0,,
P0,Q33,A2,,A0,,,1,1,1,1,1,1,,,0,,33,0,0,0,0,0,0,0,,
P0,Q34,A0,,A0,,,1,1,1,0,1,1,,,1,,34,0,0,0,0,1,1,0.333333333,,
P0,Q35,A0,,A0,,,0,1,0,0,1,1,,,1,,35,1,0,0,0,0,0,0.166666667,,
P0,Q36,A0,,A0,,,1,1,1,1,1,1,,,0,,36,1,0,1,1,0,0,0.5,,
P0,Q37,A1,,A1,,,1,1,1,1,1,1,,,0,,37,0,1,1,1,1,0,0.666666667,,
P0,Q38,A1,,A1,,,1,1,1,1,1,1,,,0,,38,0,1,1,1,1,1,0.833333333,,
P0,Q39,A0,,A0,,,1,1,1,1,1,1,,,0,,39,0,1,0,1,1,0,0.5,,
P0,Q40,A1,,A1,,,1,0,1,0,0,1,,,0,,40,0,0,0,0,1,0,0.166666667,,
P0,Q41,A0,,A0,,,1,1,1,1,1,1,,,0,,41,0,0,0,0,0,0,0,,
P0,Q42,A0,,A1,,,1,1,1,1,1,1,,,1,,42,0,1,1,0,1,1,0.666666667,,
P0,Q43,A0,,A0,,,1,1,1,1,1,1,,,0,,43,1,1,0,0,0,1,0.5,,
P0,Q44,A1,,A1,,,0,1,0,1,0,1,,,1,,44,0,1,0,1,0,1,0.5,,
P0,Q45,A0,,A1,,,1,1,1,1,1,1,,,1,,45,1,1,1,0,1,0,0.666666667,,
P0,Q46,A0,,A0,,,1,1,1,1,0,1,,,1,,46,1,1,0,0,1,0,0.5,,
P0,Q47,A0,,A0,,,0,1,0,0,1,1,,,1,,47,1,1,1,1,1,1,1,,
P0,Q48,A0,,A0,,,1,1,1,1,1,1,,,1,,48,1,1,1,1,1,1,1,,
P0,Q49,A0,,A0,,,1,1,1,1,1,1,,,1,,49,1,1,0,1,1,0,0.666666667,,
P0,Q50,A0,,A0,,,1,1,1,1,1,1,,,1,,50,1,1,1,1,1,1,1,,
P0,Q51,A0,,A0,,,1,1,0,1,1,0,,,1,,51,1,1,0,1,0,0,0.5,,
P0,Q52,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q53,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q54,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q55,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q56,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q57,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q58,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q59,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q60,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q61,A0,,A0,,,1,1,1,1,0,1,,,1,,,,,,,,,,,
P0,Q62,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q63,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q64,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q65,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q66,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q67,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q68,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q69,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q70,A1,,A1,,,1,1,1,1,0,1,,,0,,,,,,,,,,,
P0,Q71,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q72,A2,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q73,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q74,A0,,A1,,,0,1,0,0,1,1,,,0,,,,,,,,,,,
P0,Q75,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q76,A0,,A0,,,0,0,0,1,1,1,,,1,,,,,,,,,,,
P0,Q77,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q78,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q79,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q80,A0,,A0,,,1,1,1,1,0,1,,,0,,,,,,,,,,,
P0,Q81,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q82,A0,,A0,,,1,1,0,1,1,0,,,0,,,,,,,,,,,
P0,Q83,A1,,A1,,,1,1,0,1,1,0,,,0,,,,,,,,,,,
P0,Q84,A2,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q85,A0,,A0,,,1,1,0,1,1,0,,,0,,,,,,,,,,,
P0,Q86,A1,,A1,,,0,1,0,0,1,1,,,0,,,,,,,,,,,
P0,Q87,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q88,A0,,A0,,,1,1,1,1,0,1,,,1,,,,,,,,,,,
P0,Q89,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q90,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q91,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q92,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q93,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q94,A0,,A0,,,1,1,0,1,1,0,,,1,,,,,,,,,,,
P0,Q95,A0,,A0,,,1,1,0,1,1,0,,,1,,,,,,,,,,,
P0,Q96,A0,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q97,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q98,A0,,A0,,,0,0,0,1,1,1,,,1,,,,,,,,,,,
P0,Q99,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q100,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q101,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q102,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q103,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q104,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q105,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q106,A1,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q107,A1,,A1,,,1,0,1,1,0,1,,,1,,,,,,,,,,,
P0,Q108,A1,,A1,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q109,A0,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q110,A2,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q111,A0,,A0,,,0,1,0,0,0,1,,,1,,,,,,,,,,,
P0,Q112,A0,,A0,,,0,0,0,0,0,1,,,0,,,,,,,,,,,
P0,Q113,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q114,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q115,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q116,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q117,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q118,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q119,A2,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q120,A1,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q121,A1,,A1,,,0,1,0,0,1,0,,,0,,,,,,,,,,,
P0,Q122,A2,,A0,,,1,0,1,1,1,1,,,0,,,,,,,,,,,
P0,Q123,A2,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q124,A1,,A1,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q125,A2,,A1,,,0,1,0,0,1,1,,,0,,,,,,,,,,,
P0,Q126,A1,,A1,,,1,1,0,1,1,0,,,0,,,,,,,,,,,
P0,Q127,A0,,A0,,,0,1,0,0,1,0,,,1,,,,,,,,,,,
P0,Q128,A0,,A0,,,1,1,0,1,1,0,,,0,,,,,,,,,,,
P0,Q129,A1,,A1,,,1,1,1,1,0,1,,,1,,,,,,,,,,,
P0,Q130,A1,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q131,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q132,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q133,A0,,A0,,,1,1,1,0,1,1,,,0,,,,,,,,,,,
P0,Q134,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q135,A1,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q136,A1,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q137,A1,,A0,,,0,1,0,1,1,1,,,1,,,,,,,,,,,
P0,Q138,A1,,A1,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
