,Participant,Question,Annotation
0,P0,Q0,A1
1,P0,Q1,A0
2,P0,Q2,A0
3,P0,Q3,A0
4,P0,Q4,A0
5,P0,Q5,A0
6,P0,Q6,A0
7,P0,Q7,A2
8,P0,Q8,A0
9,P0,Q9,A0
10,P0,Q10,A0
11,P0,Q11,A0
12,P0,Q12,A1
13,P0,Q13,A0
14,P0,Q14,A0
15,P0,Q15,A0
16,P0,Q16,A0
17,P0,Q17,A0
18,P0,Q18,A0
19,P0,Q19,A2
20,P0,Q20,A2
21,P0,Q21,A0
22,P0,Q22,A1
23,P0,Q23,A1
24,P0,Q24,A1
25,P0,Q25,A0
26,P0,Q26,A0
27,P0,Q27,A1
28,P0,Q28,A0
29,P0,Q29,A1
30,P0,Q30,A0
31,P0,Q31,A0
32,P0,Q32,A1
33,P0,Q33,A0
34,P0,Q34,A1
35,P0,Q35,A1
36,P0,Q36,A0
37,P0,Q37,A1
38,P0,Q38,A1
39,P0,Q39,A0
40,P0,Q40,A2
41,P0,Q41,A1
42,P0,Q42,A0
43,P0,Q43,A0
44,P0,Q44,A0
45,P0,Q45,A1
46,P0,Q46,A1
47,P0,Q47,A0
48,P0,Q48,A0
49,P0,Q49,A1
50,P0,Q50,A1
51,P1,Q0,A1
52,P1,Q1,A1
53,P1,Q2,A1
54,P1,Q3,A1
55,P1,Q4,A0
56,P1,Q5,A0
57,P1,Q6,A0
58,P1,Q7,A0
59,P1,Q8,A0
60,P1,Q9,A0
61,P1,Q10,A0
62,P1,Q11,A0
63,P1,Q12,A0
64,P1,Q13,A0
65,P1,Q14,A0
66,P1,Q15,A0
67,P1,Q16,A0
68,P1,Q17,A0
69,P1,Q18,A0
70,P1,Q19,A1
71,P1,Q20,A1
72,P1,Q21,A0
73,P1,Q22,A1
74,P1,Q23,A1
75,P1,Q24,A1
76,P1,Q25,A1
77,P1,Q26,A0
78,P1,Q27,A1
79,P1,Q28,A0
80,P1,Q29,A1
81,P1,Q30,A1
82,P1,Q31,A1
83,P1,Q32,A0
84,P1,Q33,A0
85,P1,Q34,A1
86,P1,Q35,A0
87,P1,Q36,A2
88,P1,Q37,A1
89,P1,Q38,A0
90,P1,Q39,A2
91,P1,Q40,A1
92,P1,Q41,A0
93,P1,Q42,A0
94,P1,Q43,A0
95,P1,Q44,A0
96,P1,Q45,A0
97,P1,Q46,A0
98,P1,Q47,A0
99,P1,Q48,A1
100,P1,Q49,A1
101,P1,Q50,A1
